S4Yx30-clique-rcom-normalized,S9Yx15-clique-rcom-normalized,S12Y3x10-clique-rcom-normalized,S24Y6x5-clique-rcom-normalized,S120Y30-clique-rcom-normalized,Sc_S4Yx30-clique-rcom-normalized,SSYx50-clique-rcom-normalized,YSx75-clique-rcom-normalized,Yx150-clique-rcom-normalized,YYSx50-clique-rcom-normalized
0.274965414,0.251790478,0.249039163,0.480061037,0.173968598,0.215293726,0.180574703,0.149209909,0.230965271,0.199923076
0.269310898,0.271209895,0.20700861,0.136282576,0.135782159,0.25334849,0.198849561,0.120970919,0.228895595,0.206925118
0.309291084,0.208790597,0.213970579,0.228161729,0.146224237,0.445183271,0.241142065,0.336733235,0.288460991,0.226240503
0.291955564,0.169044482,0.12998252,0.501568922,0.195581052,0.237337423,0.356603979,0.107834632,0.158821478,0.285605557
0.210013245,0.215960655,0.090316363,0.058304803,0.162166349,0.273226279,0.295417465,0.261417471,0.273126592,0.251676254
0.260099393,0.233146905,0.3153638,0.432750037,0.19531272,0.188358037,0.259758368,0.274848484,0.234084626,0.106242569
0.249787451,0.264785244,0.243318308,0.340681705,0.152245293,0.330197565,0.108881788,0.221019805,0.237635471,0.14454231
0.261205619,0.269272102,0.211794524,0.95830433,0.083901227,0.273348939,0.254571346,0.36860676,0.309663319,0.179726974
0.23190434,0.31858912,0.182202063,0.38734968,0.557173112,0.31537851,0.109792499,0.342452109,0.260207209,0.213304611
0.229759744,0.248003297,0.316252796,0.392886011,0.202983138,0.345326557,0.26418428,0.343868996,0.282703665,0.226493229
0.191008213,0.332716664,0.258071574,0.222758999,0.674192487,0.310784559,0.252770757,0.103141286,0.234917018,0.110935315
0.227486383,0.284713688,0.221384625,0.085659889,0.201809958,0.284123746,0.271587769,0.285866433,0.298005864,0.058935673
0.184804979,0.279422978,0.231143235,0.542569369,0.136893111,0.405597646,0.246726366,0.286411276,0.221252234,0.215155023
0.227178849,0.124178083,0.24413724,0.311299985,0.192541949,0.245776208,0.275835983,0.202307274,0.218704404,0.236064568
0.244627208,0.229113137,0.241034971,0.106945391,0.191392566,0.296440537,0.222299713,0.202712158,0.216523643,0.154715733
0.253789016,0.210538702,0.298763399,0.428459461,0.16087418,0.17116827,0.224015174,0.299353339,0.285629506,0.299339725
0.305092605,0.238385815,0.294568726,0.136221239,0.133663332,0.228000023,0.255280417,0.295362568,0.148808629,0.236257474
0.219329956,0.226139722,0.174206033,0.948164085,0.47369711,0.444434177,0.227324197,0.234709856,0.29272235,0.301497917
0.328262531,0.244255628,0.214984996,0.381592275,0.080784826,0.336308012,0.251205616,0.217714706,0.250852266,0.192640708
